POINT_ID,위도,경도,위험도_actual,사고발생확률_p,조건부위험도_r,최종위험도점수,최종위험도점수_percent,개선우선순위1,추천근거_feature1,추천점수1,모델1_shap1,모델2_shap1,개선우선순위2,추천근거_feature2,추천점수2,모델1_shap2,모델2_shap2,개선우선순위3,추천근거_feature3,추천점수3,모델1_shap3,모델2_shap3,추천개수
266246,37.53374133616183,126.84566975571694,0.0,0.51647687,42.615105,22.009716,100.0,횡단보도 추가,횡단보도개수,1.4203791141822872,0.25972336530685425,1.0903452634811401,제한속도 하향,제한속도,0.21741971517430178,0.07732083648443222,0.052144646644592285,신호등 설치,신호등설치여부,0.14404439569648003,0.02887904830276966,0.1028158888220787,3
348245,37.50583807923006,126.92312037069333,0.0,0.90274185,23.773321,21.461172,97.50772,횡단보도 추가,횡단보도개수,1.2999416074633536,0.15895134210586548,0.29954302310943604,신호등 설치,신호등설치여부,0.4600666014210082,0.05491817370057106,0.1088198646903038,과속방지턱 추가,과속방지턱개수,0.20236695089043005,0.014449555426836014,0.0682528167963028,3
392480,37.48438688930283,127.03462565184202,0.0,0.5854342,32.03917,18.756824,85.22066,횡단보도 추가,횡단보도개수,0.980582794443189,0.1546996533870697,0.546044647693634,신호등 설치,신호등설치여부,0.38592857764685573,0.04838815703988075,0.259699285030365,CCTV 추가,CCTV개수,0.16554068713297393,0.040083274245262146,0.042121581733226776,3
267655,37.53357886141725,126.84592648630706,0.0,0.40895662,45.686047,18.68361,84.888016,횡단보도 추가,횡단보도개수,1.530762920801199,0.23890157043933868,0.977122962474823,신호등 설치,신호등설치여부,0.21225189001701095,0.029289646074175835,0.1500508189201355,과속방지턱 추가,과속방지턱개수,0.08709571592690879,0.008070990443229675,0.07656222581863403,3
327,37.57213127542935,127.01407093386558,0.0,0.77780545,23.947723,18.626669,84.6293,횡단보도 추가,횡단보도개수,1.6128166628255998,0.316805362701416,0.6028381586074829,신호등 설치,신호등설치여부,0.24547696086220464,0.0888994112610817,0.02417556196451187,노인/장애인 보호구역 지정,노인장애인보호구역여부,0.004693060443982072,8.500106923747808e-05,0.0031443657353520393,3
52904,37.54771231033669,127.02340473633022,0.0,0.54078907,33.764156,18.259287,82.96012,횡단보도 추가,횡단보도개수,1.3139906240081882,0.15803465247154236,0.41385242342948914,신호등 설치,신호등설치여부,0.25027943950440223,0.0314871110022068,0.07445821911096573,과속방지턱 추가,과속방지턱개수,0.23200157289792167,0.0025826706551015377,0.1529046595096588,3
369421,37.49005213890255,126.92276738209956,0.0,0.595126,27.740736,16.509232,75.008835,횡단보도 추가,횡단보도개수,1.753265473380943,0.12946924567222595,0.39664456248283386,신호등 설치,신호등설치여부,0.053919312719571226,0.0060618557035923,0.005471060983836651,,,0.0,0.0,0.0,2
645,37.57213970600622,127.01418029556632,0.0,0.79428977,19.37585,15.39004,69.92385,횡단보도 추가,횡단보도개수,1.7670320677503215,0.3258747160434723,0.6167913675308228,신호등 설치,신호등설치여부,0.16559248679923227,0.061755843460559845,0.007950647734105587,과속방지턱 추가,과속방지턱개수,0.02819999692413312,0.0008922190172597766,0.016723323613405228,3
272449,37.55540175080251,126.826923986836,0.0,0.61007154,24.203878,14.766097,67.08899,횡단보도 추가,횡단보도개수,1.3072773645533455,0.2634822726249695,0.24965928494930267,신호등 설치,신호등설치여부,0.5158671053933893,0.057980310171842575,0.16258972883224487,과속방지턱 추가,과속방지턱개수,0.06883938973809295,0.005062961019575596,0.025421923026442528,3
370178,37.49029000821233,126.92260457695872,0.0,0.5589317,25.854616,14.450965,65.65721,횡단보도 추가,횡단보도개수,1.679163659893629,0.10992187261581421,0.5124480724334717,신호등 설치,신호등설치여부,0.15983359888235288,0.01340464223176241,0.03616974130272865,,,0.0,0.0,0.0,2
155377,37.63386081056378,127.0233654124498,0.0,0.6131244,22.77892,13.9663105,63.455208,횡단보도 추가,횡단보도개수,1.122802149329003,0.14133526384830475,0.4690673053264618,신호등 설치,신호등설치여부,0.3379404973746174,0.03973549231886864,0.15055951476097107,제한속도 하향,제한속도,0.26625294506453656,0.016326116397976875,0.16874100267887115,3
165201,37.6337274901948,127.02338051963628,0.0,0.69804275,19.672386,13.732166,62.391384,횡단보도 추가,횡단보도개수,1.1705353615011445,0.14027811586856842,0.4284267723560333,신호등 설치,신호등설치여부,0.37597280554034807,0.05415331944823265,0.11094412952661514,제한속도 하향,제한속도,0.2439722141316636,0.019051074981689453,0.11915800720453262,3
147606,37.619148111177765,127.02080828654772,0.0,0.8351244,16.044147,13.398859,60.877018,횡단보도 추가,횡단보도개수,1.6145754096606306,0.19906821846961975,0.6355911493301392,,,0.0,0.0,0.0,,,0.0,0.0,0.0,1
273224,37.5337643092962,126.84533854718336,0.0,0.51774895,25.002298,12.944914,58.814545,횡단보도 추가,횡단보도개수,1.266061626833666,0.23854541778564453,0.9059512615203857,신호등 설치,신호등설치여부,0.3336810952678492,0.09725760668516159,0.1362588256597519,횡단보도 예고표시 설치,횡단보도예고표시여부,0.24117590845128262,0.045224353671073914,0.17322395741939545,3
